,energy,initial_phi_pos,segment_power,slope,segment_length,band_power,band_num,segment_num,event_num,freq_stop,energy_stop,time_start,time_stop,freq_start
0,17800.0,269.1891938781864,2.045797879937273e-16,89964983.07850635,0.0046697322901351705,9.626156586528813e-17,-2.0,0.0,0.0,18594973570.73501,17788.074567976775,0.4943240873283434,0.49899381961847855,18594553458.348545
1,17800.0,269.1891938781864,2.045797879937273e-16,89964983.07850635,0.0046697322901351705,3.7386710491460316e-17,-1.0,0.0,0.0,18611823926.815838,17788.074567976775,0.4943240873283434,0.49899381961847855,18611403814.429375
2,17800.0,269.1891938781864,2.045797879937273e-16,89964983.07850635,0.0046697322901351705,7.4214578746035e-17,0.0,0.0,0.0,18628674282.896667,17788.074567976775,0.4943240873283434,0.49899381961847855,18628254170.510204
3,17800.0,269.1891938781864,2.045797879937273e-16,89964983.07850635,0.0046697322901351705,3.7386710491460316e-17,1.0,0.0,0.0,18645524638.977497,17788.074567976775,0.4943240873283434,0.49899381961847855,18645104526.591034
4,17800.0,269.1891938781864,2.045797879937273e-16,89964983.07850635,0.0046697322901351705,9.626156586528813e-17,2.0,0.0,0.0,18662374995.058327,17788.074567976775,0.4943240873283434,0.49899381961847855,18661954882.671864
5,17788.074567976775,269.1891938781864,2.044588801818317e-16,89918891.13590346,0.011635012136337554,9.619952882891532e-17,-2.0,1.0,0.0,18596031019.32922,17758.37895928535,0.49899381961847855,0.5106288317548161,18594984811.939568
6,17788.074567976775,269.1891938781864,2.044588801818317e-16,89918891.13590346,0.011635012136337554,3.734198894067972e-17,-1.0,1.0,0.0,18612875804.380997,17758.37895928535,0.49899381961847855,0.5106288317548161,18611829596.991344
7,17788.074567976775,269.1891938781864,2.044588801818317e-16,89918891.13590346,0.011635012136337554,7.41806383823854e-17,0.0,1.0,0.0,18629720589.43277,17758.37895928535,0.49899381961847855,0.5106288317548161,18628674382.043118
8,17788.074567976775,269.1891938781864,2.044588801818317e-16,89918891.13590346,0.011635012136337554,3.734198894067972e-17,1.0,1.0,0.0,18646565374.484543,17758.37895928535,0.49899381961847855,0.5106288317548161,18645519167.09489
9,17788.074567976775,269.1891938781864,2.044588801818317e-16,89918891.13590346,0.011635012136337554,9.619952882891532e-17,2.0,1.0,0.0,18663410159.53632,17758.37895928535,0.49899381961847855,0.5106288317548161,18662363952.146667
10,17758.37895928535,269.1891938781864,2.0416753498684074e-16,89797141.52749436,0.0030881968057240323,9.604904576985981e-17,-2.0,2.0,0.0,18596336765.539326,17750.50830080613,0.5106288317548161,0.5137170285605401,18596059454.293697
11,17758.37895928535,269.1891938781864,2.0416753498684074e-16,89797141.52749436,0.0030881968057240323,3.722992789221635e-17,-1.0,2.0,0.0,18613167497.479225,17750.50830080613,0.5106288317548161,0.5137170285605401,18612890186.233597
12,17758.37895928535,269.1891938781864,2.0416753498684074e-16,89797141.52749436,0.0030881968057240323,7.41007091206759e-17,0.0,2.0,0.0,18629998229.419125,17750.50830080613,0.5106288317548161,0.5137170285605401,18629720918.173496
13,17758.37895928535,269.1891938781864,2.0416753498684074e-16,89797141.52749436,0.0030881968057240323,3.722992789221635e-17,1.0,2.0,0.0,18646828961.359024,17750.50830080613,0.5106288317548161,0.5137170285605401,18646551650.113396
14,17758.37895928535,269.1891938781864,2.0416753498684074e-16,89797141.52749436,0.0030881968057240323,9.604904576985981e-17,2.0,2.0,0.0,18663659693.298923,17750.50830080613,0.5106288317548161,0.5137170285605401,18663382382.053295
15,17750.50830080613,269.1891938781864,2.040902975579329e-16,89766339.23734997,0.0042350852376783895,9.600915332801129e-17,-2.0,3.0,0.0,18596724474.829445,17739.718736003826,0.5137170285605401,0.5179521137982185,18596344306.7313
16,17750.50830080613,269.1891938781864,2.040902975579329e-16,89766339.23734997,0.0042350852376783895,3.7200245987097273e-17,-1.0,3.0,0.0,18613551479.81355,17739.718736003826,0.5137170285605401,0.5179521137982185,18613171311.715405
17,17750.50830080613,269.1891938781864,2.040902975579329e-16,89766339.23734997,0.0042350852376783895,7.407950077042879e-17,0.0,3.0,0.0,18630378484.797653,17739.718736003826,0.5137170285605401,0.5179521137982185,18629998316.69951
18,17750.50830080613,269.1891938781864,2.040902975579329e-16,89766339.23734997,0.0042350852376783895,3.7200245987097273e-17,1.0,3.0,0.0,18647205489.781757,17739.718736003826,0.5137170285605401,0.5179521137982185,18646825321.683613
19,17750.50830080613,269.1891938781864,2.040902975579329e-16,89766339.23734997,0.0042350852376783895,9.600915332801129e-17,2.0,3.0,0.0,18664032494.76586,17739.718736003826,0.5137170285605401,0.5179521137982185,18663652326.667717
20,17739.718736003826,269.1891938781864,2.039844037290486e-16,89723287.22997253,0.0039170373397381395,9.59544624532871e-17,-2.0,4.0,0.0,18597086264.408207,17729.744627505726,0.5179521137982185,0.5218691511379566,18596734814.941883
21,17739.718736003826,269.1891938781864,2.039844037290486e-16,89723287.22997253,0.0039170373397381395,3.7159575010935294e-17,-1.0,4.0,0.0,18613908159.11031,17729.744627505726,0.5179521137982185,0.5218691511379566,18613556709.643986
22,17739.718736003826,269.1891938781864,2.039844037290486e-16,89723287.22997253,0.0039170373397381395,7.405040865607874e-17,0.0,4.0,0.0,18630730053.81241,17729.744627505726,0.5179521137982185,0.5218691511379566,18630378604.346085
23,17739.718736003826,269.1891938781864,2.039844037290486e-16,89723287.22997253,0.0039170373397381395,3.7159575010935294e-17,1.0,4.0,0.0,18647551948.514507,17729.744627505726,0.5179521137982185,0.5218691511379566,18647200499.048183
24,17739.718736003826,269.1891938781864,2.039844037290486e-16,89723287.22997253,0.0039170373397381395,9.59544624532871e-17,2.0,4.0,0.0,18664373843.21661,17729.744627505726,0.5179521137982185,0.5218691511379566,18664022393.750286
